#time	prey_t	predator_t
0.000000 2.000000 1.300000
0.005000 2.000700 1.300650
0.010000 2.001399 1.301302
0.015000 2.002098 1.301954
0.020000 2.002797 1.302606
0.025000 2.003495 1.303260
0.030000 2.004193 1.303914
0.035000 2.004890 1.304569
0.040000 2.005587 1.305225
0.045000 2.006283 1.305882
0.050000 2.006980 1.306539
0.055000 2.007675 1.307197
0.060000 2.008370 1.307856
0.065000 2.009065 1.308516
0.070000 2.009760 1.309177
0.075000 2.010454 1.309838
0.080000 2.011147 1.310500
0.085000 2.011840 1.311163
0.090000 2.012533 1.311827
0.095000 2.013225 1.312491
0.100000 2.013917 1.313157
0.105000 2.014609 1.313823
0.110000 2.015300 1.314490
0.115000 2.015990 1.315157
0.120000 2.016680 1.315826
0.125000 2.017370 1.316495
0.130000 2.018059 1.317165
0.135000 2.018748 1.317836
0.140000 2.019436 1.318508
0.145000 2.020124 1.319180
0.150000 2.020812 1.319854
0.155000 2.021499 1.320528
0.160000 2.022185 1.321203
0.165000 2.022871 1.321878
0.170000 2.023557 1.322555
0.175000 2.024242 1.323232
0.180000 2.024927 1.323910
0.185000 2.025611 1.324589
0.190000 2.026295 1.325268
0.195000 2.026978 1.325949
0.200000 2.027661 1.326630
0.205000 2.028344 1.327312
0.210000 2.029026 1.327995
0.215000 2.029707 1.328679
0.220000 2.030388 1.329363
0.225000 2.031069 1.330049
0.230000 2.031749 1.330735
0.235000 2.032429 1.331422
0.240000 2.033108 1.332109
0.245000 2.033786 1.332798
0.250000 2.034465 1.333487
0.255000 2.035142 1.334177
0.260000 2.035820 1.334868
0.265000 2.036497 1.335560
0.270000 2.037173 1.336252
0.275000 2.037849 1.336946
0.280000 2.038524 1.337640
0.285000 2.039199 1.338335
0.290000 2.039873 1.339031
0.295000 2.040547 1.339727
0.300000 2.041221 1.340425
0.305000 2.041894 1.341123
0.310000 2.042566 1.341822
0.315000 2.043238 1.342522
0.320000 2.043909 1.343223
0.325000 2.044580 1.343924
0.330000 2.045251 1.344627
0.335000 2.045921 1.345330
0.340000 2.046590 1.346034
0.345000 2.047259 1.346738
0.350000 2.047928 1.347444
0.355000 2.048596 1.348150
0.360000 2.049263 1.348858
0.365000 2.049930 1.349566
0.370000 2.050596 1.350275
0.375000 2.051262 1.350984
0.380000 2.051928 1.351695
0.385000 2.052592 1.352406
0.390000 2.053257 1.353118
0.395000 2.053921 1.353831
0.400000 2.054584 1.354545
0.405000 2.055247 1.355260
0.410000 2.055909 1.355975
0.415000 2.056571 1.356692
0.420000 2.057232 1.357409
0.425000 2.057893 1.358127
0.430000 2.058553 1.358846
0.435000 2.059213 1.359565
0.440000 2.059872 1.360286
0.445000 2.060530 1.361007
