#time	prey_t	predator_t
0.000000 1.300000 2.000000
0.005000 1.300000 2.000300
0.010000 1.300000 2.000600
0.015000 1.299999 2.000900
0.020000 1.299998 2.001200
0.025000 1.299998 2.001501
0.030000 1.299996 2.001801
0.035000 1.299995 2.002101
0.040000 1.299994 2.002401
0.045000 1.299992 2.002702
0.050000 1.299990 2.003002
0.055000 1.299988 2.003303
0.060000 1.299986 2.003603
0.065000 1.299984 2.003904
0.070000 1.299981 2.004204
0.075000 1.299978 2.004505
0.080000 1.299975 2.004806
0.085000 1.299972 2.005106
0.090000 1.299968 2.005407
0.095000 1.299965 2.005708
0.100000 1.299961 2.006009
0.105000 1.299957 2.006310
0.110000 1.299953 2.006611
0.115000 1.299948 2.006912
0.120000 1.299944 2.007213
0.125000 1.299939 2.007514
0.130000 1.299934 2.007815
0.135000 1.299929 2.008116
0.140000 1.299923 2.008417
0.145000 1.299918 2.008718
0.150000 1.299912 2.009019
0.155000 1.299906 2.009321
0.160000 1.299900 2.009622
0.165000 1.299894 2.009923
0.170000 1.299887 2.010225
0.175000 1.299880 2.010526
0.180000 1.299873 2.010828
0.185000 1.299866 2.011129
0.190000 1.299859 2.011431
0.195000 1.299851 2.011732
0.200000 1.299844 2.012034
0.205000 1.299836 2.012336
0.210000 1.299828 2.012637
0.215000 1.299819 2.012939
0.220000 1.299811 2.013241
0.225000 1.299802 2.013543
0.230000 1.299793 2.013845
0.235000 1.299784 2.014146
0.240000 1.299775 2.014448
0.245000 1.299765 2.014750
0.250000 1.299756 2.015052
0.255000 1.299746 2.015354
0.260000 1.299736 2.015656
0.265000 1.299725 2.015958
0.270000 1.299715 2.016261
0.275000 1.299704 2.016563
0.280000 1.299693 2.016865
0.285000 1.299682 2.017167
0.290000 1.299671 2.017470
0.295000 1.299660 2.017772
0.300000 1.299648 2.018074
0.305000 1.299636 2.018377
0.310000 1.299624 2.018679
0.315000 1.299612 2.018981
0.320000 1.299600 2.019284
0.325000 1.299587 2.019586
0.330000 1.299574 2.019889
0.335000 1.299561 2.020191
0.340000 1.299548 2.020494
0.345000 1.299534 2.020797
0.350000 1.299521 2.021099
0.355000 1.299507 2.021402
0.360000 1.299493 2.021705
0.365000 1.299479 2.022008
0.370000 1.299464 2.022310
0.375000 1.299450 2.022613
0.380000 1.299435 2.022916
0.385000 1.299420 2.023219
0.390000 1.299405 2.023522
0.395000 1.299389 2.023825
0.400000 1.299374 2.024128
0.405000 1.299358 2.024431
0.410000 1.299342 2.024734
0.415000 1.299326 2.025037
0.420000 1.299310 2.025340
0.425000 1.299293 2.025643
0.430000 1.299276 2.025946
0.435000 1.299259 2.026249
0.440000 1.299242 2.026553
0.445000 1.299225 2.026856
