#time	prey_t	predator_t
0.000000 1.300000 1.300000
0.005000 1.300455 1.300195
0.010000 1.300910 1.300391
0.015000 1.301365 1.300586
0.020000 1.301820 1.300783
0.025000 1.302275 1.300979
0.030000 1.302731 1.301176
0.035000 1.303186 1.301373
0.040000 1.303641 1.301570
0.045000 1.304096 1.301768
0.050000 1.304552 1.301966
0.055000 1.305007 1.302165
0.060000 1.305462 1.302363
0.065000 1.305918 1.302563
0.070000 1.306373 1.302762
0.075000 1.306828 1.302962
0.080000 1.307284 1.303162
0.085000 1.307739 1.303362
0.090000 1.308195 1.303563
0.095000 1.308651 1.303764
0.100000 1.309106 1.303965
0.105000 1.309562 1.304167
0.110000 1.310017 1.304369
0.115000 1.310473 1.304571
0.120000 1.310929 1.304774
0.125000 1.311384 1.304977
0.130000 1.311840 1.305180
0.135000 1.312296 1.305384
0.140000 1.312752 1.305588
0.145000 1.313207 1.305792
0.150000 1.313663 1.305997
0.155000 1.314119 1.306202
0.160000 1.314575 1.306407
0.165000 1.315031 1.306613
0.170000 1.315487 1.306819
0.175000 1.315943 1.307025
0.180000 1.316399 1.307232
0.185000 1.316855 1.307439
0.190000 1.317311 1.307646
0.195000 1.317767 1.307854
0.200000 1.318223 1.308062
0.205000 1.318679 1.308270
0.210000 1.319135 1.308479
0.215000 1.319591 1.308688
0.220000 1.320047 1.308897
0.225000 1.320503 1.309106
0.230000 1.320960 1.309316
0.235000 1.321416 1.309527
0.240000 1.321872 1.309737
0.245000 1.322328 1.309948
0.250000 1.322784 1.310160
0.255000 1.323241 1.310371
0.260000 1.323697 1.310583
0.265000 1.324153 1.310795
0.270000 1.324610 1.311008
0.275000 1.325066 1.311221
0.280000 1.325522 1.311434
0.285000 1.325979 1.311648
0.290000 1.326435 1.311862
0.295000 1.326891 1.312076
0.300000 1.327348 1.312291
0.305000 1.327804 1.312506
0.310000 1.328261 1.312721
0.315000 1.328717 1.312937
0.320000 1.329174 1.313153
0.325000 1.329630 1.313369
0.330000 1.330087 1.313586
0.335000 1.330543 1.313802
0.340000 1.331000 1.314020
0.345000 1.331456 1.314237
0.350000 1.331913 1.314455
0.355000 1.332369 1.314674
0.360000 1.332826 1.314892
0.365000 1.333282 1.315111
0.370000 1.333739 1.315331
0.375000 1.334196 1.315550
0.380000 1.334652 1.315770
0.385000 1.335109 1.315991
0.390000 1.335565 1.316211
0.395000 1.336022 1.316432
0.400000 1.336479 1.316654
0.405000 1.336935 1.316875
0.410000 1.337392 1.317097
0.415000 1.337849 1.317320
0.420000 1.338305 1.317542
0.425000 1.338762 1.317765
0.430000 1.339219 1.317989
0.435000 1.339675 1.318213
0.440000 1.340132 1.318437
0.445000 1.340589 1.318661
0.450000 1.341045 1.318886
0.455000 1.341502 1.319111
0.460000 1.341959 1.319336
0.465000 1.342415 1.319562
0.470000 1.342872 1.319788
0.475000 1.343329 1.320014
0.480000 1.343786 1.320241
0.485000 1.344242 1.320468
0.490000 1.344699 1.320696
0.495000 1.345156 1.320924
0.500000 1.345613 1.321152
0.505000 1.346069 1.321380
0.510000 1.346526 1.321609
0.515000 1.346983 1.321838
0.520000 1.347440 1.322068
0.525000 1.347896 1.322297
0.530000 1.348353 1.322528
0.535000 1.348810 1.322758
0.540000 1.349266 1.322989
0.545000 1.349723 1.323220
0.550000 1.350180 1.323452
0.555000 1.350637 1.323684
0.560000 1.351093 1.323916
0.565000 1.351550 1.324149
0.570000 1.352007 1.324381
0.575000 1.352464 1.324615
0.580000 1.352920 1.324848
0.585000 1.353377 1.325082
0.590000 1.353834 1.325317
0.595000 1.354290 1.325551
0.600000 1.354747 1.325786
0.605000 1.355204 1.326022
0.610000 1.355660 1.326257
0.615000 1.356117 1.326493
0.620000 1.356574 1.326730
0.625000 1.357030 1.326966
0.630000 1.357487 1.327203
0.635000 1.357944 1.327441
0.640000 1.358400 1.327679
0.645000 1.358857 1.327917
0.650000 1.359314 1.328155
0.655000 1.359770 1.328394
0.660000 1.360227 1.328633
0.665000 1.360684 1.328872
0.670000 1.361140 1.329112
0.675000 1.361597 1.329352
0.680000 1.362053 1.329593
0.685000 1.362510 1.329834
0.690000 1.362966 1.330075
0.695000 1.363423 1.330317
0.700000 1.363879 1.330559
0.705000 1.364336 1.330801
0.710000 1.364792 1.331043
0.715000 1.365249 1.331286
0.720000 1.365705 1.331530
0.725000 1.366162 1.331773
0.730000 1.366618 1.332017
0.735000 1.367075 1.332262
