#time 	 prey_t	predator1_t	predator2_t
0.000000 1.700000 1.700000 1.000000
0.005000 1.696857 1.700594 1.002901
0.010000 1.693717 1.701185 1.005804
0.015000 1.690581 1.701774 1.008709
0.020000 1.687448 1.702360 1.011617
0.025000 1.684319 1.702944 1.014526
0.030000 1.681193 1.703526 1.017437
0.035000 1.678071 1.704105 1.020351
0.040000 1.674953 1.704681 1.023266
0.045000 1.671838 1.705255 1.026183
0.050000 1.668726 1.705827 1.029102
0.055000 1.665618 1.706396 1.032023
0.060000 1.662513 1.706963 1.034946
0.065000 1.659412 1.707527 1.037871
0.070000 1.656314 1.708089 1.040797
0.075000 1.653220 1.708648 1.043725
0.080000 1.650130 1.709205 1.046655
0.085000 1.647042 1.709759 1.049587
0.090000 1.643959 1.710311 1.052521
0.095000 1.640879 1.710860 1.055456
0.100000 1.637802 1.711407 1.058393
0.105000 1.634729 1.711952 1.061331
0.110000 1.631659 1.712494 1.064271
0.115000 1.628592 1.713034 1.067213
0.120000 1.625530 1.713571 1.070156
0.125000 1.622470 1.714106 1.073101
0.130000 1.619414 1.714638 1.076047
0.135000 1.616362 1.715168 1.078995
0.140000 1.613313 1.715695 1.081945
0.145000 1.610268 1.716220 1.084895
0.150000 1.607225 1.716742 1.087848
0.155000 1.604187 1.717262 1.090801
0.160000 1.601152 1.717780 1.093756
0.165000 1.598120 1.718295 1.096713
0.170000 1.595092 1.718808 1.099670
0.175000 1.592067 1.719318 1.102629
0.180000 1.589046 1.719826 1.105589
0.185000 1.586028 1.720331 1.108551
0.190000 1.583014 1.720834 1.111514
0.195000 1.580003 1.721334 1.114478
0.200000 1.576995 1.721832 1.117443
0.205000 1.573991 1.722328 1.120409
0.210000 1.570991 1.722821 1.123376
0.215000 1.567994 1.723311 1.126345
0.220000 1.565000 1.723800 1.129314
0.225000 1.562010 1.724285 1.132285
0.230000 1.559023 1.724769 1.135257
0.235000 1.556039 1.725250 1.138229
0.240000 1.553060 1.725728 1.141203
0.245000 1.550083 1.726204 1.144177
0.250000 1.547110 1.726678 1.147153
0.255000 1.544140 1.727149 1.150129
0.260000 1.541174 1.727617 1.153107
0.265000 1.538212 1.728084 1.156085
0.270000 1.535252 1.728547 1.159064
0.275000 1.532296 1.729009 1.162044
0.280000 1.529344 1.729468 1.165024
0.285000 1.526395 1.729924 1.168005
0.290000 1.523450 1.730378 1.170987
0.295000 1.520508 1.730830 1.173970
0.300000 1.517569 1.731279 1.176954
0.305000 1.514634 1.731726 1.179938
0.310000 1.511702 1.732170 1.182922
0.315000 1.508774 1.732612 1.185908
0.320000 1.505849 1.733052 1.188893
0.325000 1.502927 1.733489 1.191880
0.330000 1.500009 1.733924 1.194867
0.335000 1.497095 1.734356 1.197854
0.340000 1.494183 1.734786 1.200842
0.345000 1.491276 1.735213 1.203831
0.350000 1.488372 1.735638 1.206819
0.355000 1.485471 1.736061 1.209808
0.360000 1.482573 1.736481 1.212798
0.365000 1.479679 1.736899 1.215788
0.370000 1.476789 1.737314 1.218778
0.375000 1.473902 1.737727 1.221769
0.380000 1.471018 1.738138 1.224759
0.385000 1.468138 1.738546 1.227750
0.390000 1.465261 1.738952 1.230742
0.395000 1.462388 1.739355 1.233733
0.400000 1.459518 1.739756 1.236725
0.405000 1.456651 1.740155 1.239716
0.410000 1.453788 1.740551 1.242708
0.415000 1.450929 1.740944 1.245700
0.420000 1.448073 1.741336 1.248692
0.425000 1.445220 1.741725 1.251684
0.430000 1.442371 1.742111 1.254676
0.435000 1.439525 1.742495 1.257669
0.440000 1.436683 1.742877 1.260661
0.445000 1.433844 1.743256 1.263653
0.450000 1.431008 1.743633 1.266644
0.455000 1.428176 1.744008 1.269636
0.460000 1.425348 1.744380 1.272628
0.465000 1.422523 1.744750 1.275619
0.470000 1.419701 1.745117 1.278611
0.475000 1.416883 1.745482 1.281602
0.480000 1.414068 1.745845 1.284593
0.485000 1.411257 1.746205 1.287583
0.490000 1.408449 1.746563 1.290573
0.495000 1.405645 1.746919 1.293563
0.500000 1.402844 1.747272 1.296553
0.505000 1.400046 1.747622 1.299542
0.510000 1.397252 1.747971 1.302531
0.515000 1.394462 1.748317 1.305520
0.520000 1.391674 1.748660 1.308508
0.525000 1.388891 1.749002 1.311495
0.530000 1.386111 1.749341 1.314482
0.535000 1.383334 1.749677 1.317469
0.540000 1.380560 1.750011 1.320455
0.545000 1.377791 1.750343 1.323440
0.550000 1.375024 1.750673 1.326425
0.555000 1.372261 1.751000 1.329409
0.560000 1.369502 1.751324 1.332393
0.565000 1.366746 1.751647 1.335376
0.570000 1.363994 1.751967 1.338358
0.575000 1.361245 1.752285 1.341339
0.580000 1.358499 1.752600 1.344320
0.585000 1.355757 1.752913 1.347300
0.590000 1.353018 1.753223 1.350279
0.595000 1.350283 1.753532 1.353257
0.600000 1.347552 1.753838 1.356235
0.605000 1.344823 1.754141 1.359212
0.610000 1.342099 1.754443 1.362187
0.615000 1.339377 1.754742 1.365162
0.620000 1.336660 1.755038 1.368136
0.625000 1.333945 1.755332 1.371109
0.630000 1.331235 1.755624 1.374081
0.635000 1.328527 1.755914 1.377052
0.640000 1.325824 1.756201 1.380022
0.645000 1.323123 1.756486 1.382990
0.650000 1.320427 1.756769 1.385958
0.655000 1.317733 1.757049 1.388925
0.660000 1.315043 1.757327 1.391890
0.665000 1.312357 1.757603 1.394854
0.670000 1.309674 1.757876 1.397817
0.675000 1.306995 1.758147 1.400779
0.680000 1.304319 1.758416 1.403740
0.685000 1.301647 1.758682 1.406699
0.690000 1.298978 1.758946 1.409657
0.695000 1.296312 1.759208 1.412614
0.700000 1.293651 1.759468 1.415569
0.705000 1.290992 1.759725 1.418523
0.710000 1.288337 1.759980 1.421476
0.715000 1.285686 1.760232 1.424427
0.720000 1.283038 1.760482 1.427377
0.725000 1.280394 1.760730 1.430325
0.730000 1.277753 1.760976 1.433272
0.735000 1.275116 1.761220 1.436218
0.740000 1.272482 1.761461 1.439161
0.745000 1.269852 1.761700 1.442104
0.750000 1.267225 1.761936 1.445044
0.755000 1.264602 1.762170 1.447983
0.760000 1.261982 1.762402 1.450921
0.765000 1.259366 1.762632 1.453857
0.770000 1.256753 1.762860 1.456791
0.775000 1.254144 1.763085 1.459723
0.780000 1.251539 1.763308 1.462654
0.785000 1.248936 1.763528 1.465583
0.790000 1.246338 1.763747 1.468510
0.795000 1.243743 1.763963 1.471435
0.800000 1.241151 1.764177 1.474359
0.805000 1.238563 1.764388 1.477281
0.810000 1.235979 1.764597 1.480200
0.815000 1.233398 1.764805 1.483118
0.820000 1.230821 1.765009 1.486034
0.825000 1.228247 1.765212 1.488948
0.830000 1.225677 1.765412 1.491861
0.835000 1.223110 1.765610 1.494771
0.840000 1.220547 1.765806 1.497679
0.845000 1.217987 1.766000 1.500585
0.850000 1.215431 1.766191 1.503489
0.855000 1.212879 1.766380 1.506391
0.860000 1.210330 1.766567 1.509291
0.865000 1.207784 1.766752 1.512189
0.870000 1.205243 1.766934 1.515084
0.875000 1.202704 1.767115 1.517978
0.880000 1.200170 1.767293 1.520869
0.885000 1.197638 1.767468 1.523758
0.890000 1.195111 1.767642 1.526645
0.895000 1.192587 1.767813 1.529529
0.900000 1.190066 1.767982 1.532412
0.905000 1.187549 1.768149 1.535292
0.910000 1.185036 1.768314 1.538169
0.915000 1.182526 1.768476 1.541045
0.920000 1.180020 1.768637 1.543918
0.925000 1.177517 1.768795 1.546788
0.930000 1.175018 1.768951 1.549656
0.935000 1.172523 1.769104 1.552522
0.940000 1.170031 1.769256 1.555385
0.945000 1.167542 1.769405 1.558246
0.950000 1.165058 1.769552 1.561104
0.955000 1.162577 1.769697 1.563960
0.960000 1.160099 1.769840 1.566813
0.965000 1.157625 1.769981 1.569664
0.970000 1.155154 1.770119 1.572512
0.975000 1.152688 1.770255 1.575357
0.980000 1.150224 1.770389 1.578200
0.985000 1.147765 1.770521 1.581040
0.990000 1.145309 1.770651 1.583878
0.995000 1.142856 1.770779 1.586712
1.000000 1.140407 1.770904 1.589545
1.005000 1.137962 1.771027 1.592374
1.010000 1.135520 1.771148 1.595200
1.015000 1.133082 1.771267 1.598024
1.020000 1.130647 1.771384 1.600845
1.025000 1.128217 1.771499 1.603663
1.030000 1.125789 1.771611 1.606479
1.035000 1.123365 1.771722 1.609291
1.040000 1.120945 1.771830 1.612101
1.045000 1.118529 1.771936 1.614907
1.050000 1.116116 1.772040 1.617711
1.055000 1.113707 1.772142 1.620512
1.060000 1.111301 1.772241 1.623310
1.065000 1.108899 1.772339 1.626104
1.070000 1.106500 1.772434 1.628896
1.075000 1.104105 1.772528 1.631685
1.080000 1.101714 1.772619 1.634471
1.085000 1.099327 1.772708 1.637253
1.090000 1.096943 1.772795 1.640033
1.095000 1.094562 1.772880 1.642809
1.100000 1.092185 1.772963 1.645583
1.105000 1.089812 1.773043 1.648353
1.110000 1.087443 1.773122 1.651120
1.115000 1.085077 1.773198 1.653884
