#time 	 prey_t	predator1_t	predator2_t
0.790000 1.316361 1.768063 1.768063
0.795000 1.314332 1.768341 1.768341
0.800000 1.312309 1.768618 1.768618
0.805000 1.310289 1.768894 1.768894
0.810000 1.308274 1.769167 1.769167
0.815000 1.306263 1.769439 1.769439
0.820000 1.304256 1.769709 1.769709
0.825000 1.302254 1.769977 1.769977
0.830000 1.300256 1.770244 1.770244
0.835000 1.298262 1.770509 1.770509
0.840000 1.296272 1.770772 1.770772
0.845000 1.294287 1.771034 1.771034
0.850000 1.292305 1.771293 1.771293
0.855000 1.290328 1.771551 1.771551
0.860000 1.288355 1.771808 1.771808
0.865000 1.286387 1.772062 1.772062
0.870000 1.284422 1.772315 1.772315
0.875000 1.282462 1.772566 1.772566
0.880000 1.280506 1.772816 1.772816
0.885000 1.278554 1.773064 1.773064
0.890000 1.276606 1.773310 1.773310
0.895000 1.274662 1.773554 1.773554
0.900000 1.272722 1.773797 1.773797
0.905000 1.270787 1.774038 1.774038
0.910000 1.268855 1.774277 1.774277
0.915000 1.266928 1.774515 1.774515
0.920000 1.265004 1.774751 1.774751
0.925000 1.263085 1.774985 1.774985
0.930000 1.261170 1.775218 1.775218
0.935000 1.259258 1.775449 1.775449
0.940000 1.257351 1.775678 1.775678
0.945000 1.255448 1.775906 1.775906
0.950000 1.253548 1.776132 1.776132
0.955000 1.251653 1.776356 1.776356
0.960000 1.249762 1.776579 1.776579
0.965000 1.247875 1.776800 1.776800
0.970000 1.245991 1.777019 1.777019
0.975000 1.244112 1.777237 1.777237
0.980000 1.242236 1.777453 1.777453
0.985000 1.240365 1.777668 1.777668
0.990000 1.238497 1.777880 1.777880
0.995000 1.236633 1.778092 1.778092
1.000000 1.234774 1.778301 1.778301
1.005000 1.232918 1.778509 1.778509
1.010000 1.231066 1.778715 1.778715
1.015000 1.229217 1.778920 1.778920
1.020000 1.227373 1.779123 1.779123
1.025000 1.225533 1.779325 1.779325
1.030000 1.223696 1.779525 1.779525
1.035000 1.221863 1.779723 1.779723
1.040000 1.220034 1.779919 1.779919
1.045000 1.218209 1.780114 1.780114
1.050000 1.216387 1.780308 1.780308
1.055000 1.214570 1.780500 1.780500
1.060000 1.212756 1.780690 1.780690
1.065000 1.210946 1.780879 1.780879
1.070000 1.209140 1.781066 1.781066
1.075000 1.207337 1.781251 1.781251
1.080000 1.205538 1.781435 1.781435
1.085000 1.203743 1.781617 1.781617
1.090000 1.201952 1.781798 1.781798
1.095000 1.200164 1.781977 1.781977
1.100000 1.198380 1.782155 1.782155
1.105000 1.196600 1.782331 1.782331
1.110000 1.194823 1.782505 1.782505
1.115000 1.193051 1.782678 1.782678
1.120000 1.191281 1.782849 1.782849
1.125000 1.189516 1.783019 1.783019
1.130000 1.187754 1.783187 1.783187
1.135000 1.185996 1.783354 1.783354
1.140000 1.184241 1.783519 1.783519
1.145000 1.182490 1.783682 1.783682
1.150000 1.180742 1.783844 1.783844
1.155000 1.178999 1.784005 1.784005
1.160000 1.177258 1.784164 1.784164
1.165000 1.175522 1.784321 1.784321
1.170000 1.173789 1.784477 1.784477
1.175000 1.172059 1.784631 1.784631
1.180000 1.170333 1.784784 1.784784
1.185000 1.168611 1.784935 1.784935
1.190000 1.166892 1.785085 1.785085
1.195000 1.165177 1.785233 1.785233
1.200000 1.163465 1.785380 1.785380
1.205000 1.161757 1.785525 1.785525
1.210000 1.160052 1.785668 1.785668
1.215000 1.158351 1.785811 1.785811
1.220000 1.156653 1.785951 1.785951
1.225000 1.154959 1.786090 1.786090
1.230000 1.153268 1.786228 1.786228
1.235000 1.151580 1.786364 1.786364
1.240000 1.149897 1.786499 1.786499
1.245000 1.148216 1.786632 1.786632
1.250000 1.146539 1.786764 1.786764
1.255000 1.144865 1.786894 1.786894
1.260000 1.143195 1.787022 1.787022
1.265000 1.141528 1.787150 1.787150
1.270000 1.139865 1.787275 1.787275
1.275000 1.138205 1.787400 1.787400
1.280000 1.136548 1.787522 1.787522
1.285000 1.134895 1.787644 1.787644
1.290000 1.133245 1.787764 1.787764
1.295000 1.131599 1.787882 1.787882
1.300000 1.129956 1.787999 1.787999
1.305000 1.128316 1.788114 1.788114
1.310000 1.126680 1.788228 1.788228
1.315000 1.125046 1.788341 1.788341
1.320000 1.123417 1.788452 1.788452
1.325000 1.121790 1.788562 1.788562
1.330000 1.120167 1.788670 1.788670
1.335000 1.118547 1.788777 1.788777
1.340000 1.116930 1.788882 1.788882
1.345000 1.115317 1.788986 1.788986
1.350000 1.113707 1.789088 1.789088
1.355000 1.112100 1.789189 1.789189
1.360000 1.110497 1.789289 1.789289
1.365000 1.108896 1.789387 1.789387
1.370000 1.107299 1.789484 1.789484
1.375000 1.105706 1.789579 1.789579
1.380000 1.104115 1.789673 1.789673
1.385000 1.102528 1.789765 1.789765
1.390000 1.100943 1.789856 1.789856
1.395000 1.099362 1.789946 1.789946
1.400000 1.097785 1.790034 1.790034
1.405000 1.096210 1.790121 1.790121
1.410000 1.094639 1.790206 1.790206
1.415000 1.093070 1.790290 1.790290
