#time	prey_t	predator_t
0.000000 0.100000 0.100000
0.005000 0.100095 0.099955
0.010000 0.100189 0.099910
0.015000 0.100284 0.099865
0.020000 0.100379 0.099820
0.025000 0.100474 0.099775
0.030000 0.100569 0.099730
0.035000 0.100664 0.099686
0.040000 0.100759 0.099641
0.045000 0.100854 0.099596
0.050000 0.100950 0.099551
0.055000 0.101045 0.099507
0.060000 0.101141 0.099462
0.065000 0.101236 0.099417
0.070000 0.101332 0.099372
0.075000 0.101428 0.099328
0.080000 0.101524 0.099283
0.085000 0.101620 0.099239
0.090000 0.101716 0.099194
0.095000 0.101812 0.099149
0.100000 0.101908 0.099105
0.105000 0.102005 0.099060
0.110000 0.102101 0.099016
0.115000 0.102198 0.098972
0.120000 0.102294 0.098927
0.125000 0.102391 0.098883
0.130000 0.102488 0.098838
0.135000 0.102585 0.098794
0.140000 0.102682 0.098750
0.145000 0.102779 0.098705
0.150000 0.102876 0.098661
0.155000 0.102974 0.098617
0.160000 0.103071 0.098573
0.165000 0.103169 0.098529
0.170000 0.103266 0.098484
0.175000 0.103364 0.098440
0.180000 0.103462 0.098396
0.185000 0.103560 0.098352
0.190000 0.103658 0.098308
0.195000 0.103756 0.098264
0.200000 0.103854 0.098220
0.205000 0.103952 0.098176
0.210000 0.104050 0.098132
0.215000 0.104149 0.098088
0.220000 0.104247 0.098044
0.225000 0.104346 0.098000
0.230000 0.104445 0.097956
0.235000 0.104544 0.097912
0.240000 0.104643 0.097869
0.245000 0.104742 0.097825
0.250000 0.104841 0.097781
0.255000 0.104940 0.097737
0.260000 0.105039 0.097694
0.265000 0.105139 0.097650
0.270000 0.105238 0.097606
0.275000 0.105338 0.097562
0.280000 0.105437 0.097519
0.285000 0.105537 0.097475
0.290000 0.105637 0.097432
0.295000 0.105737 0.097388
0.300000 0.105837 0.097345
0.305000 0.105937 0.097301
0.310000 0.106038 0.097258
0.315000 0.106138 0.097214
0.320000 0.106238 0.097171
0.325000 0.106339 0.097127
0.330000 0.106440 0.097084
0.335000 0.106540 0.097041
0.340000 0.106641 0.096997
0.345000 0.106742 0.096954
0.350000 0.106843 0.096911
0.355000 0.106944 0.096867
0.360000 0.107046 0.096824
0.365000 0.107147 0.096781
0.370000 0.107248 0.096738
0.375000 0.107350 0.096694
0.380000 0.107452 0.096651
0.385000 0.107553 0.096608
0.390000 0.107655 0.096565
0.395000 0.107757 0.096522
0.400000 0.107859 0.096479
0.405000 0.107961 0.096436
0.410000 0.108063 0.096393
0.415000 0.108166 0.096350
0.420000 0.108268 0.096307
0.425000 0.108371 0.096264
0.430000 0.108473 0.096221
0.435000 0.108576 0.096178
0.440000 0.108679 0.096135
0.445000 0.108782 0.096093
0.450000 0.108885 0.096050
0.455000 0.108988 0.096007
0.460000 0.109091 0.095964
0.465000 0.109194 0.095922
0.470000 0.109298 0.095879
0.475000 0.109401 0.095836
0.480000 0.109505 0.095793
0.485000 0.109609 0.095751
0.490000 0.109712 0.095708
0.495000 0.109816 0.095666
0.500000 0.109920 0.095623
0.505000 0.110024 0.095581
0.510000 0.110129 0.095538
0.515000 0.110233 0.095496
0.520000 0.110337 0.095453
0.525000 0.110442 0.095411
0.530000 0.110547 0.095368
0.535000 0.110651 0.095326
0.540000 0.110756 0.095283
0.545000 0.110861 0.095241
0.550000 0.110966 0.095199
0.555000 0.111071 0.095156
0.560000 0.111176 0.095114
0.565000 0.111282 0.095072
0.570000 0.111387 0.095030
0.575000 0.111493 0.094987
0.580000 0.111598 0.094945
0.585000 0.111704 0.094903
0.590000 0.111810 0.094861
0.595000 0.111916 0.094819
0.600000 0.112022 0.094777
0.605000 0.112128 0.094735
0.610000 0.112234 0.094693
0.615000 0.112340 0.094651
0.620000 0.112447 0.094609
0.625000 0.112553 0.094567
0.630000 0.112660 0.094525
0.635000 0.112767 0.094483
0.640000 0.112874 0.094441
0.645000 0.112981 0.094399
0.650000 0.113088 0.094357
0.655000 0.113195 0.094315
0.660000 0.113302 0.094273
0.665000 0.113410 0.094232
0.670000 0.113517 0.094190
0.675000 0.113625 0.094148
0.680000 0.113732 0.094106
0.685000 0.113840 0.094065
0.690000 0.113948 0.094023
0.695000 0.114056 0.093981
0.700000 0.114164 0.093940
0.705000 0.114272 0.093898
0.710000 0.114381 0.093857
0.715000 0.114489 0.093815
0.720000 0.114598 0.093774
0.725000 0.114706 0.093732
0.730000 0.114815 0.093691
0.735000 0.114924 0.093649
0.740000 0.115033 0.093608
0.745000 0.115142 0.093566
0.750000 0.115251 0.093525
0.755000 0.115360 0.093484
0.760000 0.115469 0.093442
0.765000 0.115579 0.093401
0.770000 0.115688 0.093360
0.775000 0.115798 0.093318
0.780000 0.115908 0.093277
0.785000 0.116018 0.093236
0.790000 0.116128 0.093195
0.795000 0.116238 0.093154
0.800000 0.116348 0.093112
0.805000 0.116458 0.093071
0.810000 0.116569 0.093030
0.815000 0.116679 0.092989
0.820000 0.116790 0.092948
0.825000 0.116901 0.092907
0.830000 0.117011 0.092866
0.835000 0.117122 0.092825
0.840000 0.117233 0.092784
0.845000 0.117345 0.092743
0.850000 0.117456 0.092702
0.855000 0.117567 0.092661
0.860000 0.117679 0.092620
0.865000 0.117790 0.092580
0.870000 0.117902 0.092539
0.875000 0.118014 0.092498
0.880000 0.118126 0.092457
0.885000 0.118238 0.092416
0.890000 0.118350 0.092376
0.895000 0.118462 0.092335
0.900000 0.118575 0.092294
0.905000 0.118687 0.092254
0.910000 0.118800 0.092213
0.915000 0.118912 0.092172
0.920000 0.119025 0.092132
0.925000 0.119138 0.092091
0.930000 0.119251 0.092051
0.935000 0.119364 0.092010
0.940000 0.119477 0.091970
0.945000 0.119591 0.091929
0.950000 0.119704 0.091889
0.955000 0.119817 0.091848
0.960000 0.119931 0.091808
0.965000 0.120045 0.091767
0.970000 0.120159 0.091727
0.975000 0.120273 0.091687
0.980000 0.120387 0.091646
0.985000 0.120501 0.091606
0.990000 0.120615 0.091566
0.995000 0.120730 0.091526
1.000000 0.120844 0.091485
1.005000 0.120959 0.091445
1.010000 0.121074 0.091405
1.015000 0.121189 0.091365
1.020000 0.121304 0.091325
1.025000 0.121419 0.091285
1.030000 0.121534 0.091244
1.035000 0.121649 0.091204
1.040000 0.121765 0.091164
1.045000 0.121880 0.091124
1.050000 0.121996 0.091084
1.055000 0.122111 0.091044
1.060000 0.122227 0.091004
1.065000 0.122343 0.090964
1.070000 0.122459 0.090925
1.075000 0.122576 0.090885
1.080000 0.122692 0.090845
1.085000 0.122808 0.090805
1.090000 0.122925 0.090765
1.095000 0.123041 0.090725
1.100000 0.123158 0.090686
1.105000 0.123275 0.090646
1.110000 0.123392 0.090606
1.115000 0.123509 0.090566
1.120000 0.123626 0.090527
1.125000 0.123744 0.090487
1.130000 0.123861 0.090447
1.135000 0.123979 0.090408
1.140000 0.124096 0.090368
1.145000 0.124214 0.090329
1.150000 0.124332 0.090289
1.155000 0.124450 0.090250
1.160000 0.124568 0.090210
1.165000 0.124686 0.090171
1.170000 0.124805 0.090131
1.175000 0.124923 0.090092
1.180000 0.125042 0.090052
1.185000 0.125160 0.090013
1.190000 0.125279 0.089974
1.195000 0.125398 0.089934
1.200000 0.125517 0.089895
1.205000 0.125636 0.089856
1.210000 0.125756 0.089816
1.215000 0.125875 0.089777
1.220000 0.125994 0.089738
1.225000 0.126114 0.089699
1.230000 0.126234 0.089660
1.235000 0.126354 0.089620
1.240000 0.126474 0.089581
1.245000 0.126594 0.089542
1.250000 0.126714 0.089503
1.255000 0.126834 0.089464
1.260000 0.126955 0.089425
1.265000 0.127075 0.089386
1.270000 0.127196 0.089347
1.275000 0.127317 0.089308
1.280000 0.127437 0.089269
1.285000 0.127558 0.089230
1.290000 0.127679 0.089191
1.295000 0.127801 0.089152
1.300000 0.127922 0.089113
1.305000 0.128044 0.089075
1.310000 0.128165 0.089036
1.315000 0.128287 0.088997
1.320000 0.128409 0.088958
1.325000 0.128531 0.088919
1.330000 0.128653 0.088881
1.335000 0.128775 0.088842
1.340000 0.128897 0.088803
1.345000 0.129019 0.088765
1.350000 0.129142 0.088726
1.355000 0.129265 0.088687
1.360000 0.129387 0.088649
1.365000 0.129510 0.088610
1.370000 0.129633 0.088572
1.375000 0.129756 0.088533
1.380000 0.129880 0.088495
1.385000 0.130003 0.088456
1.390000 0.130126 0.088418
1.395000 0.130250 0.088379
1.400000 0.130374 0.088341
1.405000 0.130498 0.088302
1.410000 0.130621 0.088264
1.415000 0.130746 0.088226
1.420000 0.130870 0.088187
1.425000 0.130994 0.088149
1.430000 0.131118 0.088111
1.435000 0.131243 0.088072
1.440000 0.131368 0.088034
1.445000 0.131492 0.087996
1.450000 0.131617 0.087958
1.455000 0.131742 0.087920
1.460000 0.131867 0.087881
1.465000 0.131993 0.087843
1.470000 0.132118 0.087805
1.475000 0.132244 0.087767
1.480000 0.132369 0.087729
1.485000 0.132495 0.087691
1.490000 0.132621 0.087653
1.495000 0.132747 0.087615
1.500000 0.132873 0.087577
1.505000 0.132999 0.087539
1.510000 0.133126 0.087501
1.515000 0.133252 0.087463
1.520000 0.133379 0.087425
1.525000 0.133505 0.087387
1.530000 0.133632 0.087349
1.535000 0.133759 0.087312
1.540000 0.133886 0.087274
1.545000 0.134013 0.087236
1.550000 0.134141 0.087198
1.555000 0.134268 0.087161
1.560000 0.134396 0.087123
1.565000 0.134524 0.087085
1.570000 0.134651 0.087047
1.575000 0.134779 0.087010
1.580000 0.134907 0.086972
1.585000 0.135036 0.086935
1.590000 0.135164 0.086897
1.595000 0.135292 0.086859
1.600000 0.135421 0.086822
1.605000 0.135550 0.086784
1.610000 0.135678 0.086747
1.615000 0.135807 0.086709
1.620000 0.135936 0.086672
1.625000 0.136066 0.086634
1.630000 0.136195 0.086597
1.635000 0.136324 0.086560
1.640000 0.136454 0.086522
1.645000 0.136584 0.086485
1.650000 0.136713 0.086448
1.655000 0.136843 0.086410
1.660000 0.136973 0.086373
1.665000 0.137104 0.086336
1.670000 0.137234 0.086299
1.675000 0.137364 0.086261
1.680000 0.137495 0.086224
1.685000 0.137625 0.086187
1.690000 0.137756 0.086150
1.695000 0.137887 0.086113
1.700000 0.138018 0.086076
1.705000 0.138149 0.086038
1.710000 0.138281 0.086001
1.715000 0.138412 0.085964
1.720000 0.138544 0.085927
1.725000 0.138676 0.085890
1.730000 0.138807 0.085853
1.735000 0.138939 0.085816
1.740000 0.139071 0.085779
1.745000 0.139204 0.085743
1.750000 0.139336 0.085706
1.755000 0.139468 0.085669
1.760000 0.139601 0.085632
1.765000 0.139734 0.085595
1.770000 0.139866 0.085558
1.775000 0.139999 0.085522
1.780000 0.140133 0.085485
1.785000 0.140266 0.085448
1.790000 0.140399 0.085411
1.795000 0.140533 0.085375
1.800000 0.140666 0.085338
1.805000 0.140800 0.085301
1.810000 0.140934 0.085265
1.815000 0.141068 0.085228
1.820000 0.141202 0.085191
1.825000 0.141336 0.085155
1.830000 0.141471 0.085118
1.835000 0.141605 0.085082
1.840000 0.141740 0.085045
1.845000 0.141875 0.085009
1.850000 0.142009 0.084972
1.855000 0.142144 0.084936
1.860000 0.142280 0.084899
