#time	prey_t	predator_t
0.000000 2.000000 1.900000
0.005000 1.999900 1.900950
0.010000 1.999798 1.901901
0.015000 1.999696 1.902852
0.020000 1.999593 1.903803
0.025000 1.999488 1.904755
0.030000 1.999383 1.905707
0.035000 1.999277 1.906659
0.040000 1.999170 1.907612
0.045000 1.999062 1.908565
0.050000 1.998953 1.909519
0.055000 1.998843 1.910473
0.060000 1.998733 1.911427
0.065000 1.998621 1.912382
0.070000 1.998508 1.913337
0.075000 1.998395 1.914292
0.080000 1.998280 1.915248
0.085000 1.998165 1.916204
0.090000 1.998048 1.917161
0.095000 1.997931 1.918118
0.100000 1.997813 1.919075
0.105000 1.997694 1.920033
0.110000 1.997573 1.920991
0.115000 1.997452 1.921949
0.120000 1.997330 1.922908
0.125000 1.997207 1.923867
0.130000 1.997084 1.924826
0.135000 1.996959 1.925786
0.140000 1.996833 1.926746
0.145000 1.996706 1.927707
0.150000 1.996579 1.928667
0.155000 1.996450 1.929629
0.160000 1.996321 1.930590
0.165000 1.996190 1.931552
0.170000 1.996059 1.932514
0.175000 1.995926 1.933477
0.180000 1.995793 1.934440
0.185000 1.995659 1.935403
0.190000 1.995524 1.936367
0.195000 1.995388 1.937331
0.200000 1.995251 1.938295
0.205000 1.995113 1.939260
0.210000 1.994974 1.940225
0.215000 1.994834 1.941191
0.220000 1.994693 1.942156
0.225000 1.994551 1.943122
0.230000 1.994409 1.944089
0.235000 1.994265 1.945056
0.240000 1.994121 1.946023
0.245000 1.993975 1.946990
0.250000 1.993829 1.947958
0.255000 1.993681 1.948926
0.260000 1.993533 1.949895
0.265000 1.993384 1.950863
0.270000 1.993234 1.951833
0.275000 1.993083 1.952802
0.280000 1.992931 1.953772
0.285000 1.992778 1.954742
0.290000 1.992624 1.955712
0.295000 1.992469 1.956683
0.300000 1.992313 1.957654
0.305000 1.992156 1.958626
0.310000 1.991998 1.959598
0.315000 1.991840 1.960570
0.320000 1.991680 1.961542
0.325000 1.991520 1.962515
0.330000 1.991358 1.963488
0.335000 1.991196 1.964462
0.340000 1.991033 1.965435
0.345000 1.990868 1.966409
0.350000 1.990703 1.967384
0.355000 1.990537 1.968358
0.360000 1.990370 1.969333
0.365000 1.990202 1.970309
0.370000 1.990033 1.971284
0.375000 1.989863 1.972260
0.380000 1.989692 1.973237
0.385000 1.989520 1.974213
0.390000 1.989348 1.975190
0.395000 1.989174 1.976167
0.400000 1.988999 1.977145
0.405000 1.988824 1.978123
0.410000 1.988647 1.979101
0.415000 1.988470 1.980080
0.420000 1.988292 1.981058
0.425000 1.988112 1.982037
0.430000 1.987932 1.983017
0.435000 1.987751 1.983996
0.440000 1.987569 1.984976
0.445000 1.987386 1.985957
0.450000 1.987202 1.986937
0.455000 1.987017 1.987918
0.460000 1.986831 1.988899
0.465000 1.986644 1.989881
0.470000 1.986456 1.990863
0.475000 1.986268 1.991845
0.480000 1.986078 1.992827
0.485000 1.985887 1.993810
0.490000 1.985696 1.994793
0.495000 1.985503 1.995776
0.500000 1.985310 1.996760
0.505000 1.985116 1.997744
0.510000 1.984920 1.998728
0.515000 1.984724 1.999712
0.520000 1.984527 2.000697
0.525000 1.984329 2.001682
0.530000 1.984130 2.002667
0.535000 1.983930 2.003653
0.540000 1.983729 2.004639
0.545000 1.983527 2.005625
0.550000 1.983325 2.006611
0.555000 1.983121 2.007598
0.560000 1.982916 2.008585
0.565000 1.982711 2.009572
0.570000 1.982504 2.010560
0.575000 1.982297 2.011548
0.580000 1.982088 2.012536
0.585000 1.981879 2.013524
0.590000 1.981669 2.014513
0.595000 1.981457 2.015502
0.600000 1.981245 2.016491
0.605000 1.981032 2.017480
0.610000 1.980818 2.018470
0.615000 1.980603 2.019460
0.620000 1.980387 2.020450
0.625000 1.980171 2.021441
0.630000 1.979953 2.022432
0.635000 1.979734 2.023423
0.640000 1.979515 2.024414
0.645000 1.979294 2.025406
0.650000 1.979072 2.026398
0.655000 1.978850 2.027390
0.660000 1.978627 2.028382
0.665000 1.978402 2.029375
0.670000 1.978177 2.030368
0.675000 1.977951 2.031361
0.680000 1.977724 2.032354
0.685000 1.977496 2.033348
0.690000 1.977267 2.034342
0.695000 1.977037 2.035336
0.700000 1.976806 2.036331
0.705000 1.976574 2.037325
0.710000 1.976342 2.038320
0.715000 1.976108 2.039315
0.720000 1.975874 2.040311
0.725000 1.975638 2.041306
0.730000 1.975402 2.042302
0.735000 1.975164 2.043298
0.740000 1.974926 2.044295
0.745000 1.974687 2.045291
0.750000 1.974447 2.046288
0.755000 1.974206 2.047285
0.760000 1.973964 2.048283
0.765000 1.973721 2.049280
0.770000 1.973477 2.050278
0.775000 1.973232 2.051276
0.780000 1.972986 2.052275
0.785000 1.972739 2.053273
0.790000 1.972492 2.054272
0.795000 1.972243 2.055271
0.800000 1.971994 2.056270
0.805000 1.971744 2.057270
0.810000 1.971492 2.058269
0.815000 1.971240 2.059269
0.820000 1.970987 2.060269
0.825000 1.970733 2.061270
0.830000 1.970478 2.062270
0.835000 1.970222 2.063271
0.840000 1.969965 2.064272
0.845000 1.969707 2.065273
0.850000 1.969448 2.066275
0.855000 1.969189 2.067276
0.860000 1.968928 2.068278
0.865000 1.968667 2.069280
0.870000 1.968404 2.070283
0.875000 1.968141 2.071285
0.880000 1.967876 2.072288
0.885000 1.967611 2.073291
0.890000 1.967345 2.074294
0.895000 1.967078 2.075298
0.900000 1.966810 2.076301
0.905000 1.966541 2.077305
0.910000 1.966271 2.078309
0.915000 1.966000 2.079313
0.920000 1.965729 2.080318
