#time	prey_t	predator_t
0.000000 1.300000 1.300000
0.005000 1.300370 1.300195
0.010000 1.300741 1.300391
0.015000 1.301111 1.300586
0.020000 1.301482 1.300782
0.025000 1.301852 1.300978
0.030000 1.302222 1.301175
0.035000 1.302592 1.301372
0.040000 1.302963 1.301569
0.045000 1.303333 1.301766
0.050000 1.303703 1.301964
0.055000 1.304073 1.302161
0.060000 1.304443 1.302359
0.065000 1.304813 1.302558
0.070000 1.305182 1.302757
0.075000 1.305552 1.302955
0.080000 1.305922 1.303155
0.085000 1.306292 1.303354
0.090000 1.306661 1.303554
0.095000 1.307031 1.303754
0.100000 1.307401 1.303954
0.105000 1.307770 1.304155
0.110000 1.308140 1.304356
0.115000 1.308509 1.304557
0.120000 1.308878 1.304758
0.125000 1.309248 1.304960
0.130000 1.309617 1.305162
0.135000 1.309986 1.305364
0.140000 1.310355 1.305566
0.145000 1.310724 1.305769
0.150000 1.311093 1.305972
0.155000 1.311462 1.306175
0.160000 1.311831 1.306379
0.165000 1.312200 1.306583
0.170000 1.312569 1.306787
0.175000 1.312938 1.306991
0.180000 1.313307 1.307196
0.185000 1.313675 1.307401
0.190000 1.314044 1.307606
0.195000 1.314412 1.307811
0.200000 1.314781 1.308017
0.205000 1.315149 1.308223
0.210000 1.315518 1.308429
0.215000 1.315886 1.308636
0.220000 1.316254 1.308843
0.225000 1.316623 1.309050
0.230000 1.316991 1.309257
0.235000 1.317359 1.309465
0.240000 1.317727 1.309673
0.245000 1.318095 1.309881
0.250000 1.318463 1.310089
0.255000 1.318831 1.310298
0.260000 1.319198 1.310507
0.265000 1.319566 1.310716
0.270000 1.319934 1.310926
0.275000 1.320301 1.311136
0.280000 1.320669 1.311346
0.285000 1.321037 1.311556
0.290000 1.321404 1.311767
0.295000 1.321771 1.311978
0.300000 1.322139 1.312189
0.305000 1.322506 1.312401
0.310000 1.322873 1.312612
0.315000 1.323240 1.312824
0.320000 1.323607 1.313037
0.325000 1.323974 1.313249
0.330000 1.324341 1.313462
0.335000 1.324708 1.313675
0.340000 1.325075 1.313889
0.345000 1.325442 1.314102
0.350000 1.325808 1.314316
0.355000 1.326175 1.314531
0.360000 1.326542 1.314745
0.365000 1.326908 1.314960
0.370000 1.327274 1.315175
0.375000 1.327641 1.315390
0.380000 1.328007 1.315606
0.385000 1.328373 1.315822
0.390000 1.328740 1.316038
0.395000 1.329106 1.316255
0.400000 1.329472 1.316471
0.405000 1.329838 1.316688
0.410000 1.330203 1.316906
0.415000 1.330569 1.317123
0.420000 1.330935 1.317341
0.425000 1.331301 1.317559
0.430000 1.331666 1.317778
0.435000 1.332032 1.317996
0.440000 1.332397 1.318215
0.445000 1.332763 1.318434
0.450000 1.333128 1.318654
0.455000 1.333493 1.318874
0.460000 1.333859 1.319094
0.465000 1.334224 1.319314
0.470000 1.334589 1.319535
0.475000 1.334954 1.319756
0.480000 1.335319 1.319977
0.485000 1.335683 1.320198
0.490000 1.336048 1.320420
0.495000 1.336413 1.320642
0.500000 1.336778 1.320864
0.505000 1.337142 1.321087
0.510000 1.337507 1.321310
0.515000 1.337871 1.321533
0.520000 1.338235 1.321756
0.525000 1.338600 1.321980
0.530000 1.338964 1.322204
0.535000 1.339328 1.322428
0.540000 1.339692 1.322652
0.545000 1.340056 1.322877
0.550000 1.340420 1.323102
0.555000 1.340783 1.323328
0.560000 1.341147 1.323553
0.565000 1.341511 1.323779
0.570000 1.341874 1.324005
0.575000 1.342238 1.324232
0.580000 1.342601 1.324458
0.585000 1.342964 1.324686
0.590000 1.343328 1.324913
