#time	prey_t	predator_t
0.000000 0.100000 5.000000
0.005000 0.099850 4.997750
0.010000 0.099700 4.995501
0.015000 0.099550 4.993253
0.020000 0.099401 4.991005
0.025000 0.099252 4.988758
0.030000 0.099103 4.986511
0.035000 0.098955 4.984266
0.040000 0.098807 4.982020
0.045000 0.098659 4.979776
0.050000 0.098512 4.977532
0.055000 0.098365 4.975289
0.060000 0.098218 4.973046
0.065000 0.098072 4.970804
0.070000 0.097926 4.968563
0.075000 0.097780 4.966322
0.080000 0.097635 4.964082
0.085000 0.097490 4.961843
0.090000 0.097345 4.959604
0.095000 0.097201 4.957366
0.100000 0.097057 4.955128
0.105000 0.096913 4.952892
0.110000 0.096770 4.950656
0.115000 0.096627 4.948420
0.120000 0.096484 4.946185
0.125000 0.096341 4.943951
0.130000 0.096199 4.941718
0.135000 0.096057 4.939485
0.140000 0.095916 4.937253
0.145000 0.095775 4.935021
0.150000 0.095634 4.932790
0.155000 0.095493 4.930560
0.160000 0.095353 4.928331
0.165000 0.095213 4.926102
0.170000 0.095074 4.923873
0.175000 0.094934 4.921646
0.180000 0.094795 4.919419
0.185000 0.094657 4.917193
0.190000 0.094518 4.914967
0.195000 0.094380 4.912742
0.200000 0.094243 4.910518
0.205000 0.094105 4.908295
0.210000 0.093968 4.906072
0.215000 0.093831 4.903850
0.220000 0.093695 4.901628
0.225000 0.093558 4.899407
0.230000 0.093423 4.897187
0.235000 0.093287 4.894968
0.240000 0.093152 4.892749
0.245000 0.093017 4.890531
0.250000 0.092882 4.888313
0.255000 0.092747 4.886096
0.260000 0.092613 4.883880
0.265000 0.092480 4.881665
0.270000 0.092346 4.879450
0.275000 0.092213 4.877236
0.280000 0.092080 4.875022
0.285000 0.091947 4.872810
0.290000 0.091815 4.870598
0.295000 0.091683 4.868386
0.300000 0.091551 4.866176
0.305000 0.091420 4.863966
0.310000 0.091288 4.861756
0.315000 0.091157 4.859548
0.320000 0.091027 4.857340
0.325000 0.090897 4.855133
0.330000 0.090767 4.852926
0.335000 0.090637 4.850720
0.340000 0.090507 4.848515
0.345000 0.090378 4.846310
0.350000 0.090249 4.844107
0.355000 0.090121 4.841903
0.360000 0.089992 4.839701
0.365000 0.089864 4.837499
0.370000 0.089737 4.835298
0.375000 0.089609 4.833098
0.380000 0.089482 4.830898
0.385000 0.089355 4.828699
0.390000 0.089228 4.826501
0.395000 0.089102 4.824303
0.400000 0.088976 4.822107
0.405000 0.088850 4.819910
0.410000 0.088725 4.817715
0.415000 0.088599 4.815520
0.420000 0.088474 4.813326
0.425000 0.088350 4.811133
0.430000 0.088225 4.808940
0.435000 0.088101 4.806748
0.440000 0.087977 4.804557
0.445000 0.087853 4.802366
0.450000 0.087730 4.800176
0.455000 0.087607 4.797987
0.460000 0.087484 4.795799
0.465000 0.087362 4.793611
0.470000 0.087239 4.791424
0.475000 0.087117 4.789237
0.480000 0.086996 4.787052
0.485000 0.086874 4.784867
0.490000 0.086753 4.782683
0.495000 0.086632 4.780499
0.500000 0.086511 4.778316
0.505000 0.086391 4.776134
0.510000 0.086271 4.773953
0.515000 0.086151 4.771772
0.520000 0.086031 4.769592
0.525000 0.085912 4.767413
0.530000 0.085793 4.765234
0.535000 0.085674 4.763056
0.540000 0.085555 4.760879
0.545000 0.085437 4.758703
0.550000 0.085319 4.756527
0.555000 0.085201 4.754352
0.560000 0.085083 4.752178
0.565000 0.084966 4.750004
0.570000 0.084849 4.747831
0.575000 0.084732 4.745659
0.580000 0.084616 4.743488
0.585000 0.084499 4.741317
